No.,Station Id,Avg. Test Fees,Station Name,Address,City,ZIP,Phone Number,Price,Tax,On the Spot Registration,Registration/Sticker Fee,Service Type,Detailed Information
1,2,$25,KEN GARFF MERCEDES BENZ,575 SOUTH STATE,SALT LAKE CITY,84111,855-780-1053,25,0,Na,Na,TestAndRepair,Na
2,24,$39,OLYMPUS HILLS SINCLAIR,3905 SOUTH WASATCH BLVD,SALT LAKE CITY,84124,801- 272-2081,39,0,Na,Na,TestAndRepair,Na
3,28,$31,UNION SERVICE,997 EAST 7220 SOUTH,MIDVALE,84047,801-255-4122,Na,Na,Na,Na,Na,Na
4,38,$30,LARRY H. MILLER TOYOTA,5650 S STATE ST,MURRAY,84107,801-264-3850,30,0,Yes,5,TestAndRepair,Na
5,46,$35,QUALITY TIRE CO.,1335 WEST 2100 SOUTH,SALT LAKE CITY,84119,801-972-1944,Na,Na,Na,Na,Na,Na
6,58,$25,RIVERTON CHEVROLET,11100 S JORDAN GTWY,SOUTH JORDAN,84095,801- 938-7683,25,0,No,Na,TestAndRepair,Na
7,64,$35,NEIL'S PRO SERVICE,1204 WEST 600 NORTH,SALT LAKE CITY,84116,385- 489-0499,35,0,No,Na,TestAndRepair,Na
8,69,$48,PERFORMANCE PLACE INC.,10246 SOUTH 1700 WEST,SOUTH JORDAN,84095,801- 254-0715,40,0,No,Na,TestAndRepair,Na
9,70,$35,DENNYS AUTO,11999 SOUTH REDWOOD RD,RIVERTON,84065,801- 254-6554,35,0,No,Na,TestAndRepair,Na
10,73,$37,THE LITTLE GARAGE,1161 SOUTH 300 WEST,SALT LAKE CITY,84101,801- 466-1161,40,0,No,Na,TestAndRepair,Na
11,96,$27,NATE WADE SUBARU,1207 SOUTH MAIN ST.,SALT LAKE CITY,84111,888-654-7340,25,0,No,Na,TestAndRepair,Na
12,107,$25,LARRY'S CAR CARE,2965 S 3600 W,WEST VALLEY,84119,801- 973-4007,25,0,Yes,10,TestAndRepair,Na
13,109,$33,GINES AUTO SERVICE INC,4261 WEST 5415 SOUTH,KEARNS,84118,801- 966-6021,30,2.89,No,Na,TestAndRepair,Na
14,130,$43,PARRY'S SERVICE,14250 SO. 1700 WEST,BLUFFDALE,84065,801-254-9971,35,0,No,Na,TestAndRepair,Additional fees depend on vehicle.
15,133,$25,VARGAS AUTO,3401 S WEST TEMPLE,SALT LAKE CITY,84115,801- 335-9363,25,0,Yes,10,TestAndRepair,Na
16,135,$40,GREASE MONKEY,10352 So. BECKSTEAD LN,SOUTH JORDAN,84095,801- 254-8882,40,0,No,Na,TestAndRepair,Na
17,139,$31,BMW OF MURRAY,4735 So. STATE ST.,MURRAY,84107,844-339-0494,35,0,Yes,0,TestAndRepair,Na
18,140,$35,STEVES AUTOMOTIVE SPECIAL,2809 S 2300 E,SALT LAKE CITY,84109,801- 466-2886,34.95,0,Yes,10,TestAndRepair,Na
19,155,$40,ERV'S AUTOMOTIVE,1041W BULLION ST,MURRAY,84123,801-266-7961,40,0,No,Na,TestAndRepair,Na
20,157,$33,HORNER'S CHEVRON,1688 EAST 1700 SOUTH,SALT LAKE CITY,84105,801- 466-7571,30,0,Yes,8,TestAndRepair,Na
21,158,$40,SLAUGH'S CAR CARE,807 EAST 200 SOUTH,SALT LAKE CITY,84102,801- 532-4954,40,0,Yes,10,TestAndRepair,Na
22,165,$33,CAPITOL MUFFLER,964 SOUTH STATE ST.,SALT LAKE CITY,84111,801- 355-8631,35,0,Yes,10,TestAndRepair,Na
23,174,$28,REED IVERSON REPAIR,3175 SOUTH 300 WEST,SALT LAKE CITY,84115,801- 485-2361,35,0,No,Na,TestAndRepair,Na
24,175,$36,COTTONWOOD GARAGE,2049 EAST 6200 SOUTH,SALT LAKE CITY,84121,801- 278-1432,35,0,No,Na,TestAndRepair,Na
25,191,$35,BUCK'S CAR CLINIC,220 W 9210 So,SANDY,84070,801-566-4222,Na,Na,No,Na,Na,Na
26,200,$30,PAUL'S AUTOMOTIVE,48 EAST 9400 SOUTH,SANDY,84070,801- 255-7472,28,0,Yes,10,TestAndRepair,Na
27,214,$28,THOMAS TIRE CENTER,3555 SOUTH 3600 WEST,WEST VALLEY CITY,84119,801-969-3555,25,0,Yes,10,TestAndRepair,Na
28,221,$33,G.T. AUTOMOTIVE,919 W. BAXTER DR.,SOUTH JORDAN,84095,801- 302-0912,35,0,Yes,9.75,TestAndRepair,Na
29,222,$36,HARRIS AUTO REPAIR,953 So. EDISON (140 E.),SALT LAKE CITY,84111,801-328-8808,35,0,No,Na,TestAndRepair,Na
30,233,$33,LARRY H. MILLER CHEVROLET,5500 SOUTH STATE ST.,MURRAY,84107,801- 264-3200,30,3.4,No,Na,TestAndRepair,Additional fees depend on vehicle.
