,No.,Station Id,Avg. Test Fees,Station Name,Address,City,ZIP,Phone Number,Price,Tax,On the Spot Registration,Registration/Sticker Fee,Service Type,Detailed Information
0,237.0,1301.0,$42,JIFFY LUBE NO. 2013,4949 SO STATE ST,MURRAY,84107.0,801-263-9066,39,0,Yes,10,TestOnly,Na
1,121.0,1035.0,$32,EMISSIONS PLUS NO.3,10585 SOUTH 700 EAST,SANDY,84070.0,801-495-1601,30,0,Yes,10,TestOnly,Na
2,301.0,1432.0,$41,ALL ABOUT EMISSIONS,8610 S 700 E,SANDY,84070.0,801-666-6717,35,0,Na,Na,TestOnly,Na
3,86.0,895.0,$26,SUNS AUTO REPAIRS,2448 S CONSTITUTION BLVD,WEST VALLEY CITY,84119.0,801-974-9173,30,0,Yes,10,TestAndRepair,Na
4,295.0,1420.0,$34,STEVES AUTOMOTIVE SPECIA,9245 S 700 E,SANDY,84070.0,801-559-7776,34.95,34.95,Yes,Na,TestAndRepair,Na
5,117.0,1017.0,$35,AUTO ROW EMISSIONS AND INSPECTIONS,9315 S 700 E,SANDY,84070.0,801-561-5200,35,0,No,Na,TestAndRepair,Na
6,49.0,493.0,$36,PRECISION AUTOMOTIVE,6955 SOUTH 400 WEST,MIDVALE,84047.0,801- 561-2011,33,0,No,Na,TestAndRepair,Na
7,8.0,69.0,$48,PERFORMANCE PLACE INC.,10246 SOUTH 1700 WEST,SOUTH JORDAN,84095.0,801- 254-0715,40,0,No,Na,TestAndRepair,Na
8,370.0,1541.0,$35,SUNBURST AUTOMOTIVE SVC,1760 S STATE ST,SALT LAKE CITY,84115.0,801-466-3333,35,0,,,TestAndRepair,Na
9,144.0,1099.0,$33,QUALITY MUFFLER BRAKE,12258 S. 700 E.,DRAPER,84020.0,801-255-7199,33,0,No,Na,TestAndRepair,Na
10,85.0,893.0,$30,JAKES AUTO AND TRUCK REPAIR,12665 S. MINUTEMAN DR.,DRAPER,84020.0,801-571-4471,30,0,Yes,10,TestAndRepair,Na
11,212.0,1260.0,$38,MIDAS,4444 SO STATE ST,MURRAY,84107.0,801-692-3767,38,0,No,Na,TestAndRepair,Na
12,294.0,1419.0,$30,VINCE QUANG'S AUTO,4149 SO MAIN ST SUITE 3,SALT LAKE CITY,84107.0,801-293-9319,30,0,No,Na,TestAndRepair,Na
13,81.0,838.0,$25,NEW DEES AUTOMOTIVE,4062 S STATE ST,MURRAY,84107.0,801-262-0945,25,0,No,Na,TestAndRepair,Na
14,32.0,240.0,$37,UPTOWN SERVICE,2276 EAST 2100 SOUTH,SALT LAKE CITY,84109.0,801- 466-0238,35,0,Yes,10,TestAndRepair,Na
15,405.0,1581.0,$21,AFG AUTO REPAIR,4651 S 500 W #10,MURRAY,84123.0,801-915-4502,25,0,Yes,10,TestAndRepair,Na
