,No.,Station Id,Avg. Test Fees,Station Name,Address,City,ZIP,Phone Number,Price,Tax,On the Spot Registration,Registration/Sticker Fee,Service Type,Detailed Information
0,306.0,1442.0,$35,DEKRA SAFETY & EMISSIONS,7736 S STATE ST,MIDVALE,84047.0,801-255-6807,35,0,Na,Na,TestOnly,Na
1,302.0,1436.0,$37,MAIN STREET MUFFLER,3683 S MAIN ST,SALT LAKE CITY,84115.0,801-266-6565,35,0,Na,Na,TestAndRepair,Na
2,180.0,1189.0,$43,ALHERZ EMISSION AND REPAIR,4339 W 3500 S,WEST VALLEY CITY,84120.0,801-969-1417,35,0,Yes,5,TestAndRepair,Na
3,385.0,1559.0,$34,J & D AUTO REPAIR,634 W CENTER ST,MIDVALE,84047.0,801-808-9895,35,0,No,,TestAndRepair,Na
4,268.0,1356.0,$31,RICHINS CAR SERVICE,568 E 12300 SO,DRAPER,84020.0,801-571-1111,31,0,Yes,Na,TestAndRepair,Na
5,89.0,904.0,$27,SANDY HIGH TECH AUTOMOTIVE,9217 SOUTH STATE,SANDY,84070.0,801-566-8171,26.5,0,Yes,6.5,TestAndRepair,Na
6,288.0,1405.0,$11,SINDY AUTO REPAIR,4690 S RIVERSIDE DR,MURRAY,84123.0,801-759-6540,20,0,No,Na,TestAndRepair,$5 credit card fee
7,287.0,1395.0,$44,FABULOUS FREDDYS CAR WASH,1065 E 9400 SO,SANDY,84094.0,801-523-2969,29.99,0,No,Na,TestAndRepair,Na
8,393.0,1569.0,$37,GREASE MONKEY,2928 S GLEN EAGLE DR,WEST VALLEY CITY,84128.0,801-969-0094,38,0,Yes,5,TestAndRepair,Na
9,382.0,1555.0,$20,ALLIANCE AUTO GROUP LLC,7291 S STATE ST UNIT 2,MIDVALE,84047.0,801-738-4444,24.95,0,Yes,10,TestAndRepair,Na
10,50.0,495.0,$35,JODY WILKINSON ACURA,1111 So. MAIN ST.,SALT LAKE CITY,84111.0,385- 202-7039,31,0,Yes,0,TestAndRepair,Na
11,9.0,70.0,$35,DENNYS AUTO,11999 SOUTH REDWOOD RD,RIVERTON,84065.0,801- 254-6554,35,0,No,Na,TestAndRepair,Na
12,58.0,574.0,$30,BT AUTOMOTIVE #574,7951 So. STATE ST,MIDVALE,84047.0,801-255-1340,30,0,Yes,0,TestAndRepair,Na
13,271.0,1362.0,$31,LARRY H MILLER USED CAR,10990 SO AUTOMALL DR,SANDY,84070.0,801-553-5300,30,0,No,Na,TestAndRepair,service rep said county gov sets $30 fee county wide
14,395.0,1571.0,$39,D & V AUTO REPAIR INC,3495 S 8400 W,MAGNA,84044.0,801-250-5742,40,0,No,,TestAndRepair,Na
15,232.0,1290.0,$15,CHUY'S MECHANIC SHOP,4711 SO 300 W,MURRAY,84107.0,801-706-6136,15,0,Yes,10,TestAndRepair,Na
16,379.0,1552.0,$28,EQUITY AUTO,2437 S 3270 W,WEST VALLEY CITY,84119.0,801-906-8486,40,0,Yes,10,TestAndRepair,Na
17,332.0,1487.0,$32,HAVOLINE XPRESS LUBE,4689 W 12600 SO,RIVERTON,84065.0,801-254-2013,30,0,Na,Na,TestAndRepair,Na
18,226.0,1280.0,$39,KEARNS BIG O TIRES,3725 W 5400 S,KEARNS,84118.0,801-964-9935,35,0,No,Na,TestAndRepair,Na
19,426.0,4011.0,$27,KENWORTH SALES CO. INC.,2125 CONSTITUTION BLVD,WEST VALLEY,84119.0,801-487-4161,29,0,No,,TestAndRepair,Na
